 StudentID Qnum Score ItemID Domain_num Percent Grade Curved Curve_Grade
0 2 11325 121 7414027 435 0.8066666666666666 B 0.9603174603174603 A
1 4 11325 114 7414027 435 0.76 C 0.9047619047619048 A
2 6 11325 108 7414027 435 0.72 C 0.8571428571428571 B
3 8 11325 94 7414027 435 0.6266666666666667 D 0.746031746031746 C
4 10 11325 103 7414027 435 0.6866666666666666 D 0.8174603174603174 B
5 12 11325 107 7414027 435 0.7133333333333334 C 0.8492063492063492 B
6 14 11325 105 7414027 435 0.7 C 0.8333333333333334 B
7 16 11325 115 7414027 435 0.7666666666666667 C 0.9126984126984127 A
8 18 11325 104 7414027 435 0.6933333333333334 D 0.8253968253968254 B
9 20 11325 118 7414027 435 0.7866666666666666 C 0.9365079365079365 A
10 22 11325 99 7414027 435 0.66 D 0.7857142857142857 C
11 24 11325 84 7414027 435 0.56 F 0.6666666666666666 D
12 26 11325 113 7414027 435 0.7533333333333333 C 0.8968253968253969 B
13 28 11325 98 7414027 435 0.6533333333333333 D 0.7777777777777778 C
14 30 11325 99 7414027 435 0.66 D 0.7857142857142857 C
15 32 11325 78 7414027 435 0.52 F 0.6190476190476191 D
16 34 11325 101 7414027 435 0.6733333333333333 D 0.8015873015873016 B
17 36 11325 117 7414027 435 0.78 C 0.9285714285714286 A
18 38 11325 92 7414027 435 0.6133333333333333 D 0.7301587301587301 C
19 40 11325 96 7414027 435 0.64 D 0.7619047619047619 C
20 42 11325 112 7414027 435 0.7466666666666667 C 0.8888888888888888 B
21 44 11325 85 7414027 435 0.5666666666666667 F 0.6746031746031746 D
22 46 11325 105 7414027 435 0.7 C 0.8333333333333334 B
23 48 11325 121 7414027 435 0.8066666666666666 B 0.9603174603174603 A
24 50 11325 99 7414027 435 0.66 D 0.7857142857142857 C
25 52 11325 104 7414027 435 0.6933333333333334 D 0.8253968253968254 B
26 54 11325 126 7414027 435 0.84 B 1.0 A
27 56 11325 104 7414027 435 0.6933333333333334 D 0.8253968253968254 B
28 58 11325 99 7414027 435 0.66 D 0.7857142857142857 C
29 60 11325 116 7414027 435 0.7733333333333333 C 0.9206349206349206 A
30 62 11325 91 7414027 435 0.6066666666666667 D 0.7222222222222222 C
31 66 11325 107 7414027 435 0.7133333333333334 C 0.8492063492063492 B
32 68 11325 108 7414027 435 0.72 C 0.8571428571428571 B
33 70 11325 103 7414027 435 0.6866666666666666 D 0.8174603174603174 B
34 72 11325 110 7414027 435 0.7333333333333333 C 0.873015873015873 B
35 74 11325 108 7414027 435 0.72 C 0.8571428571428571 B
36 76 11325 112 7414027 435 0.7466666666666667 C 0.8888888888888888 B
37 78 11325 115 7414027 435 0.7666666666666667 C 0.9126984126984127 A
38 80 11325 106 7414027 435 0.7066666666666667 C 0.8412698412698413 B
39 82 11325 122 7414027 435 0.8133333333333334 B 0.9682539682539683 A
40 84 11325 102 7414027 435 0.68 D 0.8095238095238095 B
41 86 11325 106 7414027 435 0.7066666666666667 C 0.8412698412698413 B
42 88 11325 101 7414027 435 0.6733333333333333 D 0.8015873015873016 B
43 90 11325 101 7414027 435 0.6733333333333333 D 0.8015873015873016 B
44 92 11325 117 7414027 435 0.78 C 0.9285714285714286 A
45 94 11325 108 7414027 435 0.72 C 0.8571428571428571 B
46 96 11325 112 7414027 435 0.7466666666666667 C 0.8888888888888888 B
47 98 11325 79 7414027 435 0.5266666666666666 F 0.626984126984127 D
48 100 11325 110 7414027 435 0.7333333333333333 C 0.873015873015873 B
